"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
-7.97105230521051,-1.02192307783277,-9.43559923568741,11.8324236744311,-11.6756389676948,-11.9428603424265,-12.5363444738001,-6.60545706308808,-9.20648264987162,-7.61722404138259,-7.29842419777297,-10.0143656662196,-7.66480746303631,-5.89353210927386,49.1158547937406,-11.3409788619514,-10.4591873284003,-6.24769138521994,-10.7191525434102,-9.72744708530212,-7.82332316655994,-9.30338187471014,-11.4325724247334,-7.91500129978029,-5.19676884092872,-11.1919652374956,-8.00020626967043,-10.1886614138017,-6.02699963957651,-6.57206226268465,-5.81031535953937,-9.37180912804028,-10.0389287984873,-9.85294958420379,-8.97191366669163,-5.21005395887625,-11.1523707706851,-9.73125083355719,-12.6735896784615,-10.7175572535098,-6.79081589153761,-10.4517319345702,-8.46030721864109,-12.0301219609253,-7.83681848230418,-8.47642056664251,-11.9930232131369,-8.62417135979974,-7.20489792643661,-8.58504716604303
-6.56129493889272,-0.847843260579629,-8.3086064595776,10.0023924654759,-9.17112902419059,-9.66038345001996,-10.1832325337738,-4.72224288734238,-7.87731684026101,-6.18594700379816,-5.83877816665659,-8.98683267399211,-6.16691870022071,-6.07509456780795,44.4502798415637,-9.99008087756917,-9.20253900408368,-5.05950295538971,-8.74465824849369,-8.48911840815506,-5.41651303624425,-7.51365629076295,-9.28105599016989,-6.94486504015256,-4.87438667820896,-10.0628723557314,-7.03540087626465,-8.58296708829633,-5.33187180116115,-5.68334709279993,-3.55953863733055,-8.77826048975273,-7.73441680882001,-8.45074282693525,-7.28591499566478,-4.97391743140525,-9.87118038592338,-8.16211636139795,-10.5415859714032,-8.64166279999847,-6.28587266155458,-9.10968607226735,-7.02208348470343,-9.85739222765728,-6.15443148969711,-7.16035644588873,-10.0640269332248,-8.00462289574701,-6.64454766566958,-7.52483306968642
-32.0718799573393,-18.0685541622567,-36.2332010663332,-22.8910571526669,-43.4924128492993,-43.1208500229856,-49.9409991711422,-28.1396784316799,-37.997277919128,-29.3238450894619,-29.7276408380309,-42.3586123188381,-29.733605401636,-25.7308523868888,-154.528877549516,-44.9146535282405,-42.9942831687723,-28.3156542379594,-40.6741923872727,-39.5873010320446,-30.1776809866761,-34.1880205044232,-43.8256144653539,-33.0357542586118,-22.1312379336756,-44.9447638302037,-31.3676925397059,-40.5624435222004,-25.5584888173396,-25.8333413650041,-24.1315614084687,-40.718174397881,-42.0467592738312,-40.1220098658881,-36.3016160797138,-25.8654191373521,-46.1995116176295,-38.1217013139304,-48.0693018357243,-42.7181820719685,-28.0717631816462,-40.7158875702651,-33.5099683968108,-47.6485431430261,-31.3470941795631,-35.2864764449203,-48.9803717940133,-36.5799188308254,-32.0059756316433,-34.5215998984381
-3.98365967231528,1.98126299274837,-3.75245819932843,1.47815914201513,-5.29244653889613,-5.77711936917905,-6.33093272592726,-2.7501911904899,-4.7496270295708,-3.18709790751443,-2.75890969475001,-4.81856378771222,-2.74437567496651,-0.110669053087905,15.2016613068361,-5.23654138990351,-5.32713847759207,-2.80614548590058,-5.09487997172308,-5.10754281063365,-3.60590955515789,-4.35507524725702,-5.37408688438713,-3.65483939787285,-0.961123475203892,-5.70185267805051,-3.49335378690805,-5.25792132879011,-1.06456247387214,-1.13280121853651,-2.0674523447647,-4.58746353538778,-5.12322911832272,-4.2190148721712,-4.64727876257172,0.815222759484817,-5.56166328936336,-4.36617341498303,-5.9388595672031,-5.41718908116735,-2.88025521328583,-4.86192733631359,-3.11963502176925,-5.8327482736608,-3.83617612487044,-3.9105228945152,-6.18702563060578,-4.28349878927312,-3.43566708055336,-3.88164217569488
-15.7844130889084,-4.74530178537145,-17.2632617906594,4.83369815023518,-22.3812194958637,-22.4521130312461,-24.818031804567,-13.8764912084085,-17.1868940456221,-14.2026523004872,-13.68659881587,-19.6565138358527,-14.75075537925,-13.4683661351964,95.5781171503626,-22.5158801459176,-21.1662451800635,-13.0647485372275,-20.2440088680956,-20.6993186763899,-15.3702614472234,-17.6172047140963,-22.6935262173749,-14.3190419029016,-11.367976032667,-21.5449052821239,-15.1779302869235,-19.6675021535115,-11.5363317126839,-12.8286468151343,-9.03534932947554,-19.1385215910117,-20.1168496263959,-19.6350931570642,-16.1934723888502,-12.4454410748793,-21.78276848418,-18.137573375076,-24.7871912354129,-20.2665911108228,-14.2894901556339,-20.8470047662058,-14.6255888723423,-23.3730237123054,-14.7031486404157,-16.735957345044,-22.8814304359138,-16.4359279248858,-15.5103275384734,-16.3989620741664
-13.8193480281634,-5.81746873729581,-15.6661992829582,-3.56854475278886,-20.0012029212106,-18.6382960706111,-20.3116726997463,-11.9908781865607,-15.5503229610548,-13.0629699054238,-10.9339121812145,-17.2814533848787,-12.0670734651018,-12.0131530749395,-27.7053971114303,-18.9403173861886,-17.7559338309165,-11.0146635684278,-17.2444036560554,-17.2553514593803,-12.3144436774332,-15.2799857021161,-18.8860126988173,-13.6666287788729,-8.82240589025512,-18.8867883140507,-12.7556668050933,-17.2037042743298,-10.7936056010926,-11.7298935454215,-8.55515670292995,-16.4250654960162,-16.0371172123621,-16.0837110316834,-15.3647649545978,-10.1637044823558,-19.830392273588,-16.8235982296391,-21.3653283478874,-18.5870375175585,-11.6049474017123,-18.0747829594645,-12.6245804417949,-19.180776566351,-12.9124283914273,-13.7223482495782,-20.6196854672204,-15.0058379786477,-12.1685015641755,-13.8669209075967
-11.8383559246533,-5.99096825574741,-13.484064766342,2.60898739465137,-16.8467337473733,-16.6216440199737,-18.3094180992278,-10.3080251368309,-14.0290707975341,-12.089594201241,-9.99117177658202,-15.3253477995472,-10.3828476921119,-9.08866490894838,3.00382896489084,-17.5976611076031,-15.9953716907246,-10.6900575224754,-15.4809336146529,-14.4041594897328,-11.3713865598308,-13.8791403917634,-15.8771693936283,-12.0102867738047,-8.28903307356286,-16.5231546365178,-11.9768589786885,-15.9413655977345,-9.91837894550691,-8.85194956498747,-7.83818819980276,-14.8923174945785,-15.033383459677,-14.9518452889462,-12.6805526808754,-9.89650591760326,-16.4535315549912,-14.4513898053526,-18.2391415789432,-15.7867371884999,-10.2981555070986,-16.1929669928048,-11.2191982153292,-16.9509912961062,-10.5796299902047,-13.2330293351569,-18.4514160037187,-12.082647180588,-11.3131058246076,-12.4030275345658
-14.5498145569783,-5.18166673984408,-15.7997391306003,9.18110033304886,-18.9325624378717,-18.2088683456222,-21.1771067007765,-11.4764179309235,-15.0333638718816,-12.8259148833491,-10.7904933461745,-18.2038039940644,-12.4168031652866,-11.3027249297497,46.0505007918456,-19.8746111888622,-17.37866722229,-11.5749489958215,-17.4435969188923,-17.5183663961258,-12.9750822656925,-14.72896497227,-18.8244499477517,-13.7072834876307,-8.4284048067808,-19.7159616816474,-13.5603309050396,-17.8641577172352,-10.0737041187024,-11.668157857246,-7.94916477908251,-15.4699424014133,-16.8386315274325,-17.5645591800952,-14.2996338598675,-10.1965851531705,-18.8230232615603,-16.7051177659849,-20.9949399072042,-17.547614937153,-12.1997445355237,-18.2970785307504,-12.9822960773808,-19.4498961755253,-12.3065340598405,-14.2722104558539,-20.6337045799212,-14.3633544839046,-13.8659839864992,-13.407542129819
-9.98961301374324,-2.64257658641494,-11.4296678714125,3.02663464853004,-13.6490630223329,-12.8762418502654,-14.728184576149,-7.64043785044941,-10.501433780793,-9.2571189673785,-7.79687096717443,-12.2069312027568,-9.33086627734211,-7.53095293473306,15.6527242318863,-14.1952101993958,-13.0917930839813,-7.83508353695563,-12.5159511093487,-11.6636942753945,-9.13584201980007,-10.5989328553356,-13.7257827119261,-10.0379166945708,-6.29486873016502,-13.4412575722551,-9.45352772755678,-12.0693834776278,-7.4004973304214,-7.68866546751305,-6.13340059517346,-12.021330442011,-12.1192155518648,-11.4307792117274,-10.0434634732793,-6.74848182472663,-14.2678489490337,-11.2803761255436,-15.2884716674011,-12.8570285235467,-8.87703245940895,-12.5577974918001,-9.56912641827224,-13.7072120401959,-9.18933222900531,-9.77016587975635,-14.5258216428086,-10.6397570616089,-9.6933399104012,-9.70594929611047
-38.1629665593916,-9.7179624411204,-47.4098712229801,49.5850727640175,-55.8931110309364,-57.2476739041306,-63.1232566266922,-31.342042656934,-44.2009168449454,-36.2461456112206,-32.9873964522643,-49.3844969986864,-38.208917085111,-34.3745526852869,234.581146646742,-55.1889718544643,-53.0559326415681,-31.4606337835223,-50.5784307055696,-50.5967830571726,-37.8540743421231,-45.2500271320289,-53.680398860306,-40.8842047123907,-27.0212219855489,-56.0405745676375,-38.6070444106212,-52.1655811668498,-28.6998974479851,-31.863785532508,-25.9214958504599,-47.8766088582858,-48.4639000791627,-49.8021081195221,-44.9200758651564,-27.8595344188818,-56.1180586316825,-49.1769987064404,-60.5079934305934,-50.8668720851511,-34.0418008704111,-51.0023593834902,-39.218983620309,-58.801226334491,-37.5001400088557,-43.2211611272009,-57.9424987470595,-43.9866771055879,-38.6494998440078,-43.143908231013
